experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit,take_profit_mode,total_pnl,mdd,win_rate,total_trades,sharpe_ratio,profit_factor,avg_win,avg_loss,max_consecutive_losses,status
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP40_range_boundary,10:30-10:32,15,15,15,,40.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP41_range_boundary,10:30-10:32,15,15,15,,40.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL15TP15_range_boundary,10:30-10:32,15,15,15,,40.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL15TP40_range_boundary,10:30-10:32,15,15,15,,40.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL15TP41_range_boundary,10:30-10:32,15,15,15,,40.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL15TP15_range_boundary,10:30-10:32,15,15,15,,41.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL15TP40_range_boundary,10:30-10:32,15,15,15,,41.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL15TP41_range_boundary,10:30-10:32,15,15,15,,41.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL15TP15_range_boundary,10:30-10:32,15,15,15,,41.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL15TP40_range_boundary,10:30-10:32,15,15,15,,41.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL15TP41_range_boundary,10:30-10:32,15,15,15,,41.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL15TP15_range_boundary,10:30-10:32,15,15,15,,41.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL15TP40_range_boundary,10:30-10:32,15,15,15,,41.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL15TP41_range_boundary,10:30-10:32,15,15,15,,41.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL15_L3SL15_Trailing_fixed_points,10:30-10:32,15,15,15,,,,,trailing_stop,95.4,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL15_L3SL15_TP55_fixed_points,10:30-10:32,15,15,15,55.0,,,,,125.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,15.0,15.0,15.0,,1624.2,0,56.92,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,15.0,15.0,40.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,15.0,15.0,41.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,15.0,40.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,15.0,40.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,15.0,40.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,15.0,41.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,15.0,41.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,15.0,41.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,40.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,40.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,40.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,40.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,40.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,40.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,40.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,40.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,40.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,41.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,41.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,41.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,41.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,41.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,41.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL15TP15_fixed_points,10:30-10:32,15,15,15,,41.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL15TP40_fixed_points,10:30-10:32,15,15,15,,41.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL15TP41_fixed_points,10:30-10:32,15,15,15,,41.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL15_L3SL60_Trailing_range_boundary,10:30-10:32,15,15,60,,,,,trailing_stop,95.4,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL15_L3SL60_TP55_range_boundary,10:30-10:32,15,15,60,55.0,,,,,125.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,15.0,15.0,15.0,,1624.2,0,56.92,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,15.0,15.0,40.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,15.0,15.0,41.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,15.0,40.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,15.0,40.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,15.0,40.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,15.0,41.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,15.0,41.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,15.0,41.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,40.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,40.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,40.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,40.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,40.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,40.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,40.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,40.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,40.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,41.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,41.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,41.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,41.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,41.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,41.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL60TP15_range_boundary,10:30-10:32,15,15,60,,41.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL60TP40_range_boundary,10:30-10:32,15,15,60,,41.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL60TP41_range_boundary,10:30-10:32,15,15,60,,41.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL15_L3SL60_Trailing_fixed_points,10:30-10:32,15,15,60,,,,,trailing_stop,95.4,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL15_L3SL60_TP55_fixed_points,10:30-10:32,15,15,60,55.0,,,,,125.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,15.0,15.0,15.0,,1624.2,0,56.92,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,15.0,15.0,40.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,15.0,15.0,41.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,15.0,40.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,15.0,40.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP40_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,15.0,40.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,15.0,41.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,15.0,41.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL15TP41_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,15.0,41.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,40.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,40.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP15_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,40.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,40.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,40.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,40.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,40.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,40.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL15TP41_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,40.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,41.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,41.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP15_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,41.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,41.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,41.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,41.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL60TP15_fixed_points,10:30-10:32,15,15,60,,41.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,41.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL60TP41_fixed_points,10:30-10:32,15,15,60,,41.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL60_L3SL60_Trailing_range_boundary,10:30-10:32,15,60,60,,,,,trailing_stop,95.4,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL60_L3SL60_TP55_range_boundary,10:30-10:32,15,60,60,55.0,,,,,125.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP15_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,15.0,15.0,15.0,,1624.2,0,56.92,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP15_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,15.0,15.0,40.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP15_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,15.0,15.0,41.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP40_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,15.0,40.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP40_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,15.0,40.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP40_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,15.0,40.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP41_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,15.0,41.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP41_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,15.0,41.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP41_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,15.0,41.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP15_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,40.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP15_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,40.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP15_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,40.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP40_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,40.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP40_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,40.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP40_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,40.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP41_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,40.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP41_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,40.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP40_L2SL60TP41_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,40.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP15_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,41.0,15.0,15.0,,844.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP15_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,41.0,15.0,40.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP15_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,41.0,15.0,41.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP40_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,41.0,40.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP40_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,41.0,40.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP40_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,41.0,40.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP41_L3SL60TP15_range_boundary,10:30-10:32,15,60,60,,41.0,41.0,15.0,,65.0,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP41_L3SL60TP40_range_boundary,10:30-10:32,15,60,60,,41.0,41.0,40.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL60TP41_L3SL60TP41_range_boundary,10:30-10:32,15,60,60,,41.0,41.0,41.0,,-714.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL60_L3SL60_Trailing_fixed_points,10:30-10:32,15,60,60,,,,,trailing_stop,95.4,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15_L2SL60_L3SL60_TP55_fixed_points,10:30-10:32,15,60,60,55.0,,,,,125.6,0,50.77,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP15_L3SL60TP15_fixed_points,10:30-10:32,15,60,60,,15.0,15.0,15.0,,1624.2,0,56.92,65,0,0,0,0,0,success
10:3010:32_L1SL15TP15_L2SL60TP15_L3SL60TP40_fixed_points,10:30-10:32,15,60,60,,15.0,15.0,40.0,,844.6,0,50.77,65,0,0,0,0,0,success
